Nome,Stato,Altitudine (m),Latitudine,Longitudine,Regione/Cantone/Bundesland,Provincia/Distretto,Tipo strada,Superficie,Rif. strada,Wikipedia
Passo di Fletta,Italia,1200,46.1609149,10.3339367,Lombardia,Brescia,unclassified,asphalt,,
Portella Zilla,Italia,1165,37.9840312,14.9985598,Sicilia,Messina,tertiary,asphalt,SP110,
Passo della Scalucchia,Italia,1364,44.3582368,10.2278344,Emilia-Romagna,Reggio nell'Emilia,tertiary,asphalt,,https://it.wikipedia.org/wiki/Passo_della_Scalucchia
Bocchetta Campiglia,Italia,1216,45.7788237,11.2280643,Veneto,Vicenza,unclassified,asphalt,,https://it.wikipedia.org/wiki/Bocchetta_Campiglia
Colle Braida,Italia,1006,45.0832472,7.3337665,Piemonte,Torino,unclassified,asphalt,SP188,https://it.wikipedia.org/wiki/Colle_Braida
Passo dell'Incisa,Italia,1068,44.5699586,9.0747655,Liguria,Genova,tertiary,asphalt,,
Passo di Tralarbia,Italia,874,43.6628179,12.1047922,Toscana,Arezzo,primary,asphalt,SS258,
Spartiacque Salso/Dittaino,Italia,663,37.5808799,14.2835644,Sicilia,Enna,secondary,asphalt,SS121,
Passo di Pietragavina,Italia,730,44.8379379,9.2416049,Lombardia,Pavia,secondary;tertiary;unclassified,asphalt,SP168;SP207,
Passo Coppi,Italia,0,44.8052778,8.9211037,Piemonte,Alessandria,secondary,asphalt,,
Valico di Monte Pollano,Italia,1050,44.4118237,9.4747474,Emilia-Romagna,Parma,secondary,asphalt,SP27,
Valico Monte Busca,Italia,0,44.0575357,11.7702903,Emilia-Romagna,Forlì-Cesena,secondary;unclassified,asphalt,SP22,
Portella Castagnera,Italia,1351,37.9818232,14.8754662,Sicilia,Messina,track,asphalt,,
Forcorella di Marzio,Italia,788,45.9342494,8.8493295,Lombardia,Varese,tertiary,asphalt,SP41,
Passo Sulparo,Italia,600,43.9888246,11.9528176,Emilia-Romagna,Forlì-Cesena,unclassified,asphalt,SP76,
Prato all'Albero,Italia,1036,44.0446543,11.4732825,Toscana,Firenze,secondary,asphalt,SP477,
Colletto del Moro,Italia,943,44.302268,7.5384256,Piemonte,Cuneo,unclassified,asphalt,,
Passo della Crocetta,Italia,0,44.1720081,11.4507247,Toscana,Firenze,track;unclassified,asphalt,,
Sella di Gouta,Italia,1225,43.9396203,7.6082936,Liguria,Imperia,tertiary;track,asphalt,SP69,
Passo del Mercatello,Italia,1053,44.653996,9.4510271,Emilia-Romagna,Piacenza,secondary;tertiary,asphalt,SP50,https://it.wikipedia.org/wiki/Passo_del_Mercatello
Passo della Crocetta,Italia,1051,45.8802345,9.7126151,Lombardia,Bergamo,tertiary;unclassified,asphalt,,
Portella Creta,Italia,877,37.6811885,14.3119701,Sicilia,Enna,tertiary;track,asphalt,SP39;SP58,
Valico di Cerro Secco,Italia,820,41.6967827,14.8402046,Molise,Campobasso,secondary,asphalt,SP205,
Portella Schioppettate,Italia,354,37.4678174,14.1728463,Sicilia,Enna,secondary,asphalt,SS560,
Passo San Boldo,Italia,706,46.006002,12.1696777,Veneto,Treviso,secondary,asphalt,SP635,https://it.wikipedia.org/wiki/Passo_San_Boldo
Predel / Passo del Predil,Italia,1156,46.418553,13.5781717,Friuli-Venezia Giulia,Udine,secondary,asphalt,203;SS54,https://en.wikipedia.org/wiki/Predil_Pass
Valico Monte Beccugiano,Italia,537,44.1029981,11.6994426,Toscana,Firenze,secondary;track,asphalt,SP20,
Passo della Vena di Sopra,Italia,1545,45.8749932,11.3082957,Veneto,Vicenza,secondary,asphalt,SP136 della Vena,
Passo Coe,Italia,1610,45.8773236,11.2120569,Trentino-Alto Adige/Südtirol,Trento,tertiary,asphalt,SP143,https://it.wikipedia.org/wiki/Passo_Coe
Col Tzecore,Italia,1607,45.7280646,7.7184055,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,tertiary,asphalt,,
Forca di Arrone,Italia,0,42.5616614,12.7763491,Umbria,Terni,secondary,asphalt,SP4,
Forcella di Nespello,Italia,900,45.8288427,9.7505127,Lombardia,Bergamo,tertiary;unclassified,asphalt,SP30;SP31,
Selletta di Cantul,Italia,1020,45.7948157,9.7703949,Lombardia,Bergamo,tertiary,asphalt,SP36,
Passo della Mauria,Italia,0,46.4544228,12.5133399,Veneto,Belluno,primary;track,asphalt,SS52,https://it.wikipedia.org/wiki/Passo_della_Mauria
Passo del Praderadego,Italia,925,46.0023281,12.1099172,Veneto,Treviso,tertiary,asphalt,,https://it.wikipedia.org/wiki/Passo_di_Praderadego
Passo di Gavia,Italia,2621,46.3434797,10.4873336,Lombardia,Brescia,path;secondary,asphalt,SS300,https://it.wikipedia.org/wiki/Passo_di_Gavia
Forcella Zovo,Italia,1606,46.6026126,12.5916751,Veneto,Belluno,unclassified,asphalt,,
Passo di Pratizzano,Italia,1243,44.3727163,10.2538961,Emilia-Romagna,Reggio nell'Emilia,tertiary,asphalt,,
Passo della Zita,Italia,713,38.0481527,14.754751,Sicilia,Messina,tertiary,asphalt,SP157,
Portella Santa Maria,Italia,746,38.0441355,14.9942645,Sicilia,Messina,tertiary,asphalt,SP122,
Sella di Andalo,Italia,1042,46.1610702,10.9979033,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS421,
Passo del Conio,Italia,1147,43.9797686,7.8709182,Liguria,Imperia,secondary,asphalt,SP24,
Valico di Sant'Antonio,Italia,638,45.9315784,8.6925703,Lombardia,Varese,tertiary,asphalt,SP7,
Colle del Ghisallo,Italia,754,45.9236858,9.2671519,Lombardia,Como,secondary;unclassified,asphalt,SP41,https://it.wikipedia.org/wiki/Ghisallo
Col di Pealda Bassa,Italia,1471,45.6812688,10.9628804,Veneto,Verona,track;unclassified,asphalt,,
Passo Crosetta,Italia,1127,46.0349859,12.4060511,Veneto,Treviso,secondary,asphalt,SP422,
Sella di Razzo,Italia,1760,46.4784763,12.6081477,Veneto,Belluno,secondary,asphalt,SP619,
Sella di Leonessa,Italia,1900,42.4737347,13.0061762,Lazio,Rieti,secondary,asphalt,SP10,https://it.wikipedia.org/wiki/Sella_di_Leonessa
Colle San Bernardo,Italia,957,44.1772968,8.0473792,Piemonte,Cuneo,primary;unclassified,asphalt,SS582,https://it.wikipedia.org/wiki/Colle_San_Bernardo
Passo Grillarine,Italia,434,43.9402879,8.03444,Liguria,Imperia,path;secondary;service;unclassified,asphalt,SP82,
Forca di Ancarano,Italia,1008,42.8201313,13.1168162,Umbria,Perugia,secondary,asphalt,SP476/2,
Passo Santa Caterina,Italia,796,45.6171023,11.2612729,Veneto,Vicenza,tertiary,asphalt,SP44,https://it.wikipedia.org/wiki/Passo_Santa_Caterina_%28Valdagno%29
Passo Bric Berton,Italia,762,44.5178016,8.5373057,Piemonte,Alessandria,secondary,asphalt,,
Passo di Frassineto,Italia,929,43.6984787,12.0979584,Toscana,Arezzo,tertiary_link,asphalt,,
Kreiter Sattel - Sella di Novale al Varco,Italia,382,46.3843588,11.2820338,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,unclassified,asphalt,LS/SP162,https://de.wikipedia.org/wiki/Kreiter_Sattel
Colle Scravaion,Italia,814,44.1595134,8.1205218,Liguria,Savona,secondary;unclassified,asphalt,SP52,
Col de Larche / Colle della Maddalena,Italia,1991,44.4218328,6.8984272,Piemonte,Cuneo,path;primary,asphalt,D 900;SS 21,https://it.wikipedia.org/wiki/Colle_della_Maddalena
Passo di Montereale,Italia,1040,42.5602093,13.2565673,Abruzzo,L'Aquila,primary,asphalt,SS260,https://it.wikipedia.org/wiki/Passo_di_Montereale
Forca di Cerro,Italia,733,42.7524012,12.8018528,Umbria,Perugia,secondary,asphalt,SR395,
Passo Cavallara,Italia,0,44.0767635,11.6732846,Toscana,Firenze,path;track;unclassified,asphalt,,
Passo della Colma / Colma di Civiasco,Italia,930,45.8092364,8.3225034,Piemonte,Verbano-Cusio-Ossola,tertiary,asphalt,SP78,
Col d'Arlaz,Italia,1030,45.6998543,7.7007011,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,track;unclassified,asphalt,31,
Bocca del Passo,Italia,940,40.4318002,15.6841732,Basilicata,Potenza,tertiary,asphalt,SPexSS276,
Decolla,Italia,970,40.4342,15.7130444,Basilicata,Potenza,tertiary,asphalt,SPexSS276,
Colle del Lis,Italia,1311,45.1779148,7.3825681,Piemonte,Torino,tertiary,asphalt,,https://it.wikipedia.org/wiki/Colle_del_Lys_%28Alpi_Graie%29
Passo di Glevizza,Italia,997,46.1933589,13.5101595,Friuli-Venezia Giulia,Udine,path;tertiary;track,asphalt,,
Portella Cuscheri,Italia,297,37.4269418,13.3990181,Sicilia,Agrigento,tertiary,asphalt,SP29-B,
La Morca,Italia,735,43.2079278,12.935221,Marche,Macerata,secondary;track,asphalt,SP29,
Passo Scuppelino,Italia,321,43.9037743,8.0084489,Liguria,Imperia,tertiary;unclassified,asphalt,,
Passo Valle,Italia,368,44.3835702,8.580074,Liguria,Savona,tertiary;track,asphalt,,
Passo Croce Ferrata,Italia,0,38.4436039,16.2723668,Calabria,Vibo Valentia,secondary,asphalt,SP45;SP8,
Passo di Pietra Spada,Italia,1335,38.5030784,16.3513593,Calabria,Vibo Valentia,secondary;track,asphalt,SS110,
Portella Castanea,Italia,448,38.236376,15.5253225,Sicilia,Messina,path;secondary;tertiary;track,asphalt,SP50;SP51,
Col Carette di Val Bighera,Italia,2130,46.2557267,10.3625784,Lombardia,Brescia,path;service;track;unclassified,asphalt,,
Passo Camponzin,Italia,810,46.0721106,11.0777179,Trentino-Alto Adige/Südtirol,Trento,unclassified,asphalt,,
Passo Marilleva,Italia,1525,46.2984208,10.8191058,Trentino-Alto Adige/Südtirol,Trento,tertiary,asphalt,SP 206,
Passo del Bracco,Italia,612,44.2494805,9.5697383,Liguria,La Spezia,primary,asphalt,SS1,https://it.wikipedia.org/wiki/Passo_del_Bracco
Sella dei Generali,Italia,1211,44.7199495,9.4595047,Emilia-Romagna,Piacenza,tertiary,asphalt,,
Forcella di Priuso,Italia,654,46.3949044,12.8098038,Friuli-Venezia Giulia,Udine,secondary;track,asphalt,SR552,
Passo Montevaccà,Italia,805,44.5352042,9.6097392,Emilia-Romagna,Parma,secondary,asphalt,SP359R,https://it.wikipedia.org/wiki/Passo_Montevacc%C3%A0
Passo dei Guselli,Italia,917,44.7380899,9.6767002,Emilia-Romagna,Piacenza,secondary;tertiary;track,asphalt,SP14;SP15,https://it.wikipedia.org/wiki/Passo_dei_Guselli
Passo San Rocco,Italia,960,45.7489715,10.5388564,Lombardia,Brescia,secondary;unclassified,asphalt,SP58,
Valico di San Fermo,Italia,1129,44.6105991,9.1035232,Piemonte,Alessandria,path;secondary,asphalt,SP81,https://it.wikipedia.org/wiki/Valico_di_San_Fermo
Reschenpass - Passo Resia,Italia,1507,46.8343532,10.5102464,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,primary,asphalt,SS40,https://de.wikipedia.org/wiki/Reschenpass
Valico di Pietra Stretta,Italia,1417,42.7136506,13.5872334,Abruzzo,Teramo,path;tertiary,asphalt,SP51,
Portella San Martino,Italia,1063,37.8216391,14.4172799,Sicilia,Enna,unclassified,asphalt,,
Valico San Giovanni delle Formiche,Italia,508,45.6836386,9.9017769,Lombardia,Bergamo,tertiary;unclassified,asphalt,,
Portella dei Lupi,Italia,394,37.46679,13.8191148,Sicilia,Caltanissetta,unclassified,asphalt,SP41,
Valico della Foce,Italia,704,44.2932936,9.5897247,Liguria,La Spezia,tertiary,asphalt,,
Gampenpass - Passo delle Palade,Italia,1518,46.529549,11.111801,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,primary,asphalt,SS238,https://de.wikipedia.org/wiki/Gampenpass
Passo Godi,Italia,1630,41.8349537,13.9315562,Abruzzo,L'Aquila,primary;track,asphalt,SR479,https://it.wikipedia.org/wiki/Passo_Godi
Poffe de Uciù,Italia,1288,45.6690688,10.2623054,Lombardia,Brescia,unclassified,asphalt,,
Passo di Connio delle Cascine,Italia,1181,44.5946879,9.3933126,Emilia-Romagna,Piacenza,secondary,asphalt,SP72,
Valico del Pescino,Italia,1179,44.5849392,9.4061773,Liguria,Genova,secondary,asphalt,SP72,https://it.wikipedia.org/wiki/Valico_del_Pescino
Plätzwiese - Prato Piazza,Italia,1993,46.6563894,12.1762637,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,track,asphalt,,https://it.wikipedia.org/wiki/Prato_Piazza
Force Capistrello,Italia,1211,42.6730824,12.9222476,Umbria,Perugia,secondary,asphalt,SP471,
Panidersattel - Passo Pinei,Italia,1437,46.5801967,11.6225791,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,secondary,asphalt,LS/SP64,
Passo Cornello,Italia,814,43.1253806,12.8587017,Marche,Macerata,primary;tertiary,asphalt,SS361,
Passo di Lavazè,Italia,1807,46.3546686,11.4927359,Trentino-Alto Adige/Südtirol,Trento,secondary;service,asphalt,SS620,https://it.wikipedia.org/wiki/Passo_di_Lavaz%C3%A8
Passo della Croce,Italia,1162,45.3024997,7.4129302,Piemonte,Torino,service;unclassified,asphalt,,
Passo Cibiana,Italia,1530,46.3744325,12.2598047,Veneto,Belluno,secondary,asphalt,SP347,https://it.wikipedia.org/wiki/Passo_Cibiana
Passo del Limbara,Italia,674,40.8426701,9.1031119,Sardegna,Sassari,secondary;tertiary,asphalt,SS392,
Forcella di Pala Barzana,Italia,840,46.1960138,12.6590809,Friuli-Venezia Giulia,Pordenone,tertiary,asphalt,SP63,
Passo dei Carpinelli,Italia,842,44.2003324,10.2316052,Toscana,Lucca,primary;unclassified,asphalt,SR445,
Passo di Passabocche,Italia,1297,45.7845099,10.1628534,Lombardia,Brescia,unclassified,asphalt,,
Passo Vignaga,Italia,550,45.5385071,11.2602452,Veneto,Vicenza,tertiary,asphalt,,
Portella del Gigliotto,Italia,505,37.2873053,14.3814056,Sicilia,Catania,tertiary,asphalt,SP60,
Passo dello Spin del Poiero,Italia,895,45.5725259,11.1200497,Veneto,Verona,secondary;unclassified,asphalt,SP16,
Passo Del Ballino,Italia,750,45.974404,10.8199382,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS421,https://it.wikipedia.org/wiki/Passo_del_Ballino
Colle di Capenardo,Italia,751,44.4608846,9.0688373,Liguria,Genova,unclassified,asphalt,,
Passo di Monte Cassio,Italia,910,44.5908281,10.0544215,Emilia-Romagna,Parma,primary,asphalt,SS62,
Passo delle Fittanze della Sega,Italia,1399,45.6838936,10.9791184,Veneto,Verona,secondary,asphalt,,https://it.wikipedia.org/wiki/Passo_delle_Fittanze_della_Sega
Passo Brocon,Italia,1616,46.1186135,11.6885369,Trentino-Alto Adige/Südtirol,Trento,secondary;unclassified,asphalt,SP79,https://it.wikipedia.org/wiki/Passo_Brocon
Passo Dosso Alto,Italia,1674,45.8062221,10.4071583,Lombardia,Brescia,path;unclassified,asphalt,,
Passo dello Zanchetto,Italia,0,44.1438668,11.1017384,Emilia-Romagna,Bologna,secondary;tertiary,asphalt,SP40;SP62,
Colle Valcavera,Italia,2416,44.3816361,7.101243,Piemonte,Cuneo,unclassified,asphalt,,https://it.wikipedia.org/wiki/Colle_Valcavera
Conca dei Parpari,Italia,1392,45.6460831,11.0937204,Veneto,Verona,secondary,asphalt,SP6,
Bocca di Navene,Italia,1425,45.7879565,10.8725882,Veneto,Verona,tertiary,asphalt,SP8,https://it.wikipedia.org/wiki/Bocca_di_Navene
Passo Crocetta,Italia,1260,44.3001703,10.2251382,Toscana,Massa-Carrara,tertiary,asphalt,SP58,
Passo Roverello,Italia,0,45.3064266,11.6983085,Veneto,Padova,secondary,asphalt,SP99,
Ju de Frara - Grödner Joch - Passo Gardena,Italia,2121,46.549819,11.8083893,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,primary,asphalt,SS243,https://it.wikipedia.org/wiki/Passo_Gardena
Nassfeldpass / Passo di Pramollo / Pas di Pramuel,Italia,1530,46.5599576,13.2755644,Friuli-Venezia Giulia,Udine,secondary,asphalt,B90;SP110,https://it.wikipedia.org/wiki/Passo_di_Pramollo
Passo della Mendola - Mendelpass,Italia,1363,46.4167623,11.2083285,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS42,https://de.wikipedia.org/wiki/Mendelpass
Passo di Monte Oppio,Italia,821,44.0429484,10.8362494,Toscana,Pistoia,primary,asphalt,SS66,https://it.wikipedia.org/wiki/Passo_di_Monte_Oppio
Croce di Salven,Italia,1108,45.947389,10.1512614,Lombardia,Brescia,tertiary,asphalt,SP5,https://it.wikipedia.org/wiki/Croce_di_Salven
Passo Genna Bogai,Italia,549,39.373707,8.4971557,Sardegna,Sud Sardegna,primary,asphalt,SS126,
Passo Monte Finocchio,Italia,607,43.9468948,12.1334412,Emilia-Romagna,Forlì-Cesena,tertiary;unclassified,asphalt,SP128,
Sella Valcalda,Italia,958,46.5241502,12.9317962,Friuli-Venezia Giulia,Udine,secondary,asphalt,SR465,
Portella San Michele,Italia,551,37.5069225,14.0880989,Sicilia,Caltanissetta,unclassified,asphalt,SP202,
Valico di Petrella,Italia,553,43.9735813,12.0489918,Emilia-Romagna,Forlì-Cesena,unclassified,asphalt,,
Passo di Pradarena,Italia,1574,44.2857663,10.30039,Emilia-Romagna,Reggio nell'Emilia,secondary;service,asphalt,SP18,https://it.wikipedia.org/wiki/Passo_della_Pradarena
Passo del Cost,Italia,1290,45.9372913,11.286785,Trentino-Alto Adige/Südtirol,Trento,path;primary;track,asphalt,SS349,
Passo Brasa,Italia,895,44.2737446,10.9957733,Emilia-Romagna,Bologna,primary,asphalt,SS623,
Penser Joch - Passo di Pennes,Italia,2211,46.818775,11.441254,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,path;primary;service,asphalt,SS508,https://de.wikipedia.org/wiki/Penser_Joch
Passo Valparola,Italia,2192,46.5251106,11.9973847,Veneto,Belluno,secondary,asphalt,SP24,
Valico dello Spino,Italia,1005,43.7015514,11.9620554,Toscana,Arezzo,primary,asphalt,SP208,
Passo di Montepiano,Italia,705,44.0893959,11.1590094,Toscana,Prato,primary,asphalt,SR325,
Croci di Calenzano,Italia,427,43.9454484,11.2136873,Toscana,Firenze,secondary,asphalt,SP8,
Passo Cereda,Italia,1369,46.1930477,11.9054202,Trentino-Alto Adige/Südtirol,Trento,secondary;track,asphalt,SS347,https://it.wikipedia.org/wiki/Passo_Cereda
Sella s.Antonio/Na Privale,Italia,790,46.2472494,13.3804372,Friuli-Venezia Giulia,Udine,tertiary,asphalt,,
Valico di Croce a Mori,Italia,954,43.8501014,11.6366565,Toscana,Firenze,secondary,asphalt,SP556,
Passo del Lagastrello,Italia,1200,44.3402625,10.1297705,Toscana,Massa-Carrara,primary;secondary;track,asphalt,SP75;SS 665,https://it.wikipedia.org/wiki/Passo_del_Lagastrello
Portella Rimedio,Italia,654,37.6830676,14.0861681,Sicilia,Palermo,tertiary,asphalt,SP19,
Passo dei Mandrioli,Italia,1173,43.7975131,11.9150919,Emilia-Romagna,Forlì-Cesena,primary,asphalt,SP142,https://it.wikipedia.org/wiki/Passo_dei_Mandrioli
Portella Gazzana,Italia,977,37.9941166,14.756374,Sicilia,Messina,tertiary;unclassified,asphalt,SP161/a;SPA105,
Colma Ballano,Italia,1123,45.8282916,8.3014393,Piemonte,Vercelli,path;track;unclassified,asphalt,,
Portella Càstani,Italia,553,37.4907874,14.4354052,Sicilia,Enna,unclassified,asphalt,SP8,
Portella di Acosa,Italia,657,37.7559167,14.0675381,Sicilia,Palermo,tertiary;unclassified,asphalt,,
Giogo di Toirano,Italia,801,44.1688375,8.159881,Liguria,Savona,secondary,asphalt,SP60,https://it.wikipedia.org/wiki/Giogo_di_Toirano
Valico della Sellata,Italia,1250,40.5311856,15.7897401,Basilicata,Potenza,secondary;tertiary,asphalt,SP5,
Bocca dei Cavallin,Italia,358,44.0699217,9.8047305,Liguria,La Spezia,tertiary,asphalt,,
Portella Colla,Italia,1418,37.8676461,14.0049763,Sicilia,Palermo,secondary,asphalt,SP119,
Valico della Crocetta,Italia,813,44.0739857,11.1819263,Toscana,Prato,secondary,asphalt,SP1,
Valico degli Eremiti,Italia,563,44.5997547,8.8071157,Piemonte,Alessandria,path;secondary;unclassified,asphalt,,
Portella Tropiano,Italia,392,37.8530007,15.259378,Sicilia,Messina,unclassified,asphalt,,
Boccola del Piano,Italia,982,45.8835382,9.197914,Lombardia,Como,track;unclassified,asphalt,,
Passo del Turchino,Italia,530,44.4879016,8.7338307,Liguria,Genova,primary,asphalt,SS456,https://it.wikipedia.org/wiki/Passo_del_Turchino
Passo del Romito,Italia,820,44.2601716,10.1656796,Toscana,Massa-Carrara,path;primary,asphalt,SS63,
Colle di Santa Libera,Italia,441,44.3435798,8.3466572,Liguria,Savona,secondary,asphalt,SP12,https://it.wikipedia.org/wiki/Colle_di_Santa_Libera
Passo della Spugna,Italia,752,43.678071,12.2841402,Marche,Pesaro e Urbino,tertiary,asphalt,SP61,
Passo Fobbia,Italia,1112,45.7262533,10.5043332,Lombardia,Brescia,track;unclassified,asphalt,SP56,
Kreuzbergpass - Passo Monte Croce di Comelico,Italia,1636,46.6559436,12.4201102,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,primary,asphalt,SS52,https://de.wikipedia.org/wiki/Kreuzbergpass
S'Arcu De Tascussì,Italia,1245,40.0318255,9.2308742,Sardegna,Nuoro,secondary,asphalt,SP7,
Passo della Crocetta,Italia,871,44.8296485,9.3820675,Emilia-Romagna,Piacenza,tertiary;unclassified,asphalt,SP34,https://it.wikipedia.org/wiki/Colle_della_Crocetta_%28Appennino_ligure%29
Passo del Termine,Italia,542,44.1538239,9.6725442,Liguria,La Spezia,secondary,asphalt,SP36;SP38;SP51,
Passo Fedaia,Italia,2057,46.4640236,11.8625899,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,SS641,https://it.wikipedia.org/wiki/Passo_Fedaia
Passo San Pellegrino,Italia,1918,46.3783576,11.7917199,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS346,https://it.wikipedia.org/wiki/Passo_San_Pellegrino
Passo della Scheggia,Italia,632,43.4109688,12.6594516,Umbria,Perugia,primary,asphalt,SS3,https://it.wikipedia.org/wiki/Passo_della_Scheggia
Sella di Camporosso,Italia,816,46.5065323,13.5300161,Friuli-Venezia Giulia,Udine,primary,asphalt,SS13,https://it.wikipedia.org/wiki/Sella_di_Camporosso
Passo dello Scopello,Italia,965,46.1134665,8.528082,Piemonte,Verbano-Cusio-Ossola,tertiary,asphalt,SS631,
Arcu Genna Arrela,Italia,0,39.4753712,9.6055216,Sardegna,Sud Sardegna,secondary,asphalt,exSS125,
Passo Quadassoni,Italia,367,39.7583753,9.5845307,Sardegna,Nuoro,trunk,asphalt,SS125var,
La Forchetta,Italia,781,43.4755844,12.7275779,Marche,Pesaro e Urbino,path;tertiary,asphalt,SP106,
Portella Grottacalda,Italia,744,37.468984,14.3495819,Sicilia,Enna,secondary,asphalt,SS117bis,
Sella di Banne / Banovski vrh,Italia,410,45.6735969,13.7968804,Friuli-Venezia Giulia,Trieste,path;service;tertiary,asphalt,,
Colle dei Bardellini,Italia,237,43.8971983,8.0164619,Liguria,Imperia,service;unclassified,asphalt,,
Portella Farina,Italia,746,37.4696978,14.3209595,Sicilia,Enna,unclassified,asphalt,SP125,
Passo di Santa Crocella,Italia,1219,41.382663,14.5814741,Campania,Benevento,path;tertiary,asphalt,SP75;SP94,https://it.wikipedia.org/wiki/Passo_di_Santa_Crocella
Arcu 'e Tidu,Italia,434,39.3055209,9.3908871,Sardegna,Cagliari,secondary,asphalt,NSA371,
Genna Filixi,Italia,978,39.9002958,9.4372416,Sardegna,Nuoro,tertiary;unclassified,asphalt,,
Genna Su Ludu,Italia,840,39.7517719,9.4946068,Sardegna,Nuoro,secondary,asphalt,SP13,
Passo del Redebus - Sontbisn,Italia,1455,46.1359753,11.3230942,Trentino-Alto Adige/Südtirol,Trento,tertiary,asphalt,SP224,https://it.wikipedia.org/wiki/Passo_Redebus
Passo di Nonani,Italia,650,45.4427669,7.884043,Piemonte,Torino,unclassified,asphalt,,
La Forcella,Italia,1039,45.8833568,9.7472226,Lombardia,Bergamo,residential;secondary,asphalt,SP27,
Passo di Monte di Mezzo,Italia,1242,44.5592547,9.4416218,Liguria,Genova,path;unclassified,asphalt,,
Bocchetta di Altare,Italia,462,44.3342865,8.3490904,Liguria,Savona,unclassified,asphalt,,https://it.wikipedia.org/wiki/Bocchetta_di_Altare
Portella della Paglia,Italia,582,38.0455655,13.3531935,Sicilia,Palermo,unclassified,asphalt,,
Passo di Carpasio,Italia,1023,43.966729,7.8764071,Liguria,Imperia,secondary,asphalt,SP24,
Valico di Salmezza,Italia,1106,45.7858812,9.731431,Lombardia,Bergamo,unclassified,asphalt,,
Sella di Cima Corso,Italia,886,46.3974054,12.7362415,Friuli-Venezia Giulia,Udine,primary,asphalt,SS52,
Sella Chianzutan,Italia,954,46.3593134,12.9410447,Friuli-Venezia Giulia,Udine,secondary,asphalt,SP1,
Passo Duran,Italia,1605,46.3249145,12.0960553,Veneto,Belluno,path;secondary,asphalt,SP347,https://it.wikipedia.org/wiki/Passo_Duran
Colle della Dieta,Italia,1420,45.2589227,7.3620149,Piemonte,Torino,path;residential,asphalt,,
Sella di Fadalto,Italia,488,46.0809229,12.3364146,Veneto,Belluno,primary,asphalt,SS51,https://it.wikipedia.org/wiki/Sella_di_Fadalto
Passo dell'Abetone,Italia,1388,44.145636,10.6649593,Toscana,Pistoia,primary;unclassified,asphalt,SS12,https://it.wikipedia.org/wiki/Passo_dell%27Abetone
Passo della Scoffera,Italia,674,44.481199,9.1200845,Liguria,Genova,secondary,asphalt,SP62,https://it.wikipedia.org/wiki/Passo_della_Scoffera
Passo dei Tre Termini,Italia,681,45.6605613,10.106026,Lombardia,Brescia,secondary,asphalt,SP48,https://it.wikipedia.org/wiki/Passo_dei_Tre_Termini
Passo del Brallo,Italia,951,44.7383509,9.2808773,Lombardia,Pavia,secondary,asphalt,SP186,https://it.wikipedia.org/wiki/Passo_del_Brallo
Passo del Giogo,Italia,882,44.0468431,11.3880595,Toscana,Firenze,primary,asphalt,SP503,https://it.wikipedia.org/wiki/Passo_del_Giogo
Passo del Monumento,Italia,0,42.7654287,10.273579,Toscana,Livorno,secondary,asphalt,SP30b,
Portella Papera,Italia,44,37.3388015,14.9320351,Sicilia,Siracusa,unclassified,asphalt,,
Bocca Magno,Italia,789,45.7136946,10.6366569,Lombardia,Brescia,tertiary,asphalt,,
Portella Pomo,Italia,821,37.9747027,14.4777776,Sicilia,Messina,tertiary;unclassified,asphalt,SP168,
Passo di Pramadiccio,Italia,1431,46.3177101,11.4908608,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,SP215dir,
Passo della Torricella,Italia,674,44.0548183,11.1850293,Toscana,Prato,path;unclassified,asphalt,,
Passo di Prato a Ceragiola,Italia,637,43.7366399,10.5492112,Toscana,Pisa,tertiary,asphalt,SP56,
Colle del Carnaio,Italia,764,43.8857774,11.9592078,Emilia-Romagna,Forlì-Cesena,tertiary,asphalt,SP26,
Jouf de Pordoi - Passo Pordoi - Pordoijoch,Italia,2239,46.4875517,11.8121935,Veneto,Belluno,primary,asphalt,SS48,https://it.wikipedia.org/wiki/Passo_Pordoi
Sella della Croce,Italia,1147,45.6384663,11.0307183,Veneto,Verona,secondary,asphalt,,
Il Colletto,Italia,0,44.3303706,7.800578,Piemonte,Cuneo,unclassified,asphalt,,
Valico di Pietra Rossa,Italia,674,43.3477657,13.1950982,Marche,Macerata,primary,asphalt,SP502,
Bocchetta del Santo di Liano,Italia,753,45.6935626,10.634585,Lombardia,Brescia,tertiary,asphalt,,
